SampleID	exclude	interferent	spike_amount	spike_unit	cancer_group_expected	cancer_is_expected	cancer_is_detected	cancer_detection_is_correct	cancer_type_predicted	tm_extraction_quant_concentration	analysis_on_binary_target_coverage_stats_mean	analysis_abnormal_coverage_cpg_mean
NC	TRUE	Hemoglobin	2000	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	0.96	7.929	0.01008499
C	FALSE	Hemoglobin	100	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	1.14	89.1867	0.3704478
C	FALSE	Bilirubin	0	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	1.029	204.3501	0.9838299
C	FALSE	gDNA	200	%	cancer	TRUE	TRUE	TRUE	upper_gi	1.197	245.8431	1.101413
NC	FALSE	Triglycerides	500	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.043	178.963	0.1965098
C	FALSE	Bilirubin	10	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	1.145	145.104	0.7630596
NC	FALSE	Triglycerides	400	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.06	94.1655	0.08584189
C	FALSE	Bilirubin	10	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	1.1	166.2824	0.8053195
C	FALSE	gDNA	50	%	cancer	TRUE	TRUE	TRUE	upper_gi	0.922	217.0084	0.9471363
C	FALSE	Triglycerides	0	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	0.952	186.8002	1.264957
C	TRUE	Bilirubin	0	mg/dL	cancer	TRUE	TRUE	TRUE	indeterminate_localization	1.102	11.0074	0.07840048
NC	FALSE	gDNA	50	%	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.152	187.9406	0.2142913
NC	FALSE	Hemoglobin	100	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.075	117.8705	0.1142497
C	FALSE	Triglycerides	100	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	1.016	145.2982	0.9238601
C	FALSE	Bilirubin	15	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	1.15	55.7635	0.2417186
C	FALSE	Triglycerides	200	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	1.058	146.7081	0.8691975
C	FALSE	Hemoglobin	500	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	1.009	168.3354	0.849138
C	FALSE	gDNA	150	%	cancer	TRUE	TRUE	TRUE	upper_gi	1.257	215.8516	0.9032172
NC	FALSE	Triglycerides	200	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.249	112.4391	0.1078716
NC	FALSE	Hemoglobin	2000	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.031	180.9896	0.1897942
NC	FALSE	gDNA	0	%	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.016	185.3168	0.1899422
C	TRUE	Bilirubin	20	mg/dL	cancer	TRUE	FALSE	FALSE	non_cancer	1.131	5.8217	0.03466257
C	FALSE	Triglycerides	400	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	1.024	179.0215	1.216942
C	FALSE	gDNA	200	%	cancer	TRUE	TRUE	TRUE	upper_gi	1.157	148.6347	0.6895651
C	FALSE	gDNA	200	%	cancer	TRUE	TRUE	TRUE	upper_gi	1.222	194.5106	0.9306646
NC	TRUE	gDNA	50	%	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.088	59.3741	0.0714469
C	FALSE	Hemoglobin	0	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	1.033	158.0712	0.7947318
NC	FALSE	gDNA	150	%	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.362	192.4155	0.1891221
C	FALSE	Triglycerides	200	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	1.097	120.2251	0.7792942
NC	FALSE	Bilirubin	0	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.162	83.314	0.08686057
NC	TRUE	Bilirubin	15	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.223	15.2453	0.01895987
C	FALSE	gDNA	50	%	cancer	TRUE	TRUE	TRUE	upper_gi	1.066	149.814	0.8229194
NC	TRUE	Triglycerides	500	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.173	7.0073	0.01272266
C	FALSE	Hemoglobin	2000	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	0.909	223.1157	0.9964809
NC	FALSE	Hemoglobin	500	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.184	193.4819	0.1881905
NC	FALSE	Hemoglobin	0	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.184	143.5823	0.1594272
NC	FALSE	gDNA	150	%	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.277	237.5457	0.2338101
C	FALSE	gDNA	150	%	cancer	TRUE	TRUE	TRUE	upper_gi	1.307	215.5363	1.034671
C	FALSE	Hemoglobin	100	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	1.016	200.9679	0.9471783
NC	TRUE	Hemoglobin	500	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	0.967	17.4998	0.02064496
NC	FALSE	Hemoglobin	2000	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.061	170.3304	0.1922017
C	FALSE	gDNA	150	%	cancer	TRUE	TRUE	TRUE	upper_gi	1.314	201.9952	1.092249
C	FALSE	Bilirubin	0	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	0.963	193.973	1.05236
C	TRUE	Hemoglobin	100	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	1.166	87.6862	0.5711073
C	TRUE	gDNA	200	%	cancer	TRUE	FALSE	FALSE	non_cancer	1.259	9.161	0.03856444
NC	FALSE	Triglycerides	0	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	0.921	181.9322	0.1958131
NC	FALSE	Bilirubin	5	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	2.028	198.2831	0.2216412
C	FALSE	Bilirubin	0	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	1.016	199.8266	0.9675437
NC	FALSE	gDNA	200	%	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.206	180.1553	0.1838395
NC	TRUE	Bilirubin	20	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.06	8.8227	0.01055035
C	FALSE	Triglycerides	0	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	1.046	74.6574	0.4366419
NC	FALSE	Hemoglobin	500	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.003	169.826	0.1709582
NC	FALSE	gDNA	0	%	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.073	191.59	0.2018738
NC	FALSE	Bilirubin	20	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.198	82.6573	0.08320118
NC	FALSE	Bilirubin	0	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.026	157.4462	0.1927996
C	FALSE	Bilirubin	20	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	1.023	149.188	0.7867585
NC	FALSE	Bilirubin	15	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.278	93.0155	0.09310093
NC	FALSE	Bilirubin	20	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.685	185.7325	0.2126558
C	TRUE	gDNA	50	%	cancer	TRUE	TRUE	TRUE	upper_gi	1.266	96.7433	0.5985167
NC	FALSE	Triglycerides	100	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.058	106.2685	0.1007387
C	FALSE	Triglycerides	500	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	1.06	91.1409	0.5255868
NC	FALSE	Hemoglobin	0	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.103	208.9902	0.2075706
NC	FALSE	Bilirubin	15	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.244	198.2364	0.2288347
NC	FALSE	Hemoglobin	0	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.32	174.1746	0.1737136
NC	TRUE	gDNA	0	%	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.06	22.7078	0.02721092
