variable_name	variable_label
SampleID	sample type: C or NC
exclude	exclusion flag
interferent	Interferent: Bilirubin, gDNA, Hemoglobin, Triglycerides
spike_amount	Interferent spike amount: numeric
spike_unit	Interferent spike amount - unit
cancer_group_expected	cancer or non_cancer
cancer_is_expected	Cancer is expected: T/F
cancer_is_detected	Cancer is detected: T/F
cancer_detection_is_correct	Cancer detection is correct: T/F
cancer_type_predicted	Predicted cancer type
tm_extraction_quant_concentration	cfDNA extraction quantity
analysis_on_binary_target_coverage_stats_mean	Coverage for binary targets
analysis_abnormal_coverage_cpg_mean	Coverage for abnormal targets
